time,location,growth
174,NJ,287
174,NY,635
174,Other,14583
174,South,14037
174,TX,7156
175,CA,12679
175,FL,9194
175,MI,666
175,NJ,455
175,NY,873
175,Other,19491
175,South,14256
175,TX,10398
176,CA,8683
176,FL,10181
176,MI,1049
176,NJ,413
176,NY,702
176,Other,20648
176,South,15059
176,TX,11372
177,CA,9805
177,FL,13965
177,MI,926
177,NJ,274
177,NY,890
177,Other,20826
177,South,15176
177,TX,13947
178,CA,8977
178,FL,11466
178,MI,754
178,NJ,97
178,NY,827
178,Other,22614
178,South,15763
178,TX,11751
179,CA,7375
179,FL,10328
179,MI,745
179,NJ,289
179,NY,829
179,Other,19936
179,South,13599
179,TX,9436
180,CA,5939
180,FL,12478
180,MI,530
180,NJ,-8
180,NY,644
180,Other,18662
180,South,14183
180,TX,8043
181,CA,10982
181,FL,10347
181,MI,527
181,NJ,240
181,NY,674
181,Other,17076
181,South,13406
181,TX,8830
182,CA,11079
182,FL,9440
182,MI,664
182,NJ,351
182,NY,700
182,Other,19957
182,South,14013
182,TX,8283
183,CA,11791
183,FL,9785
183,MI,671
183,NJ,443
183,NY,556
183,Other,19534
183,South,16256
183,TX,11525
184,CA,9097
184,FL,10249
184,MI,701
184,NJ,285
184,NY,853
184,Other,21672
184,South,16060
184,TX,9511
185,CA,9247
185,FL,12444
185,MI,641
185,NJ,498
185,NY,750
185,Other,25680
185,South,16682
185,TX,7359
186,CA,6246
186,FL,12199
186,MI,550
186,NJ,549
186,NY,760
186,Other,23471
186,South,11483
186,TX,9641
187,CA,5547
187,FL,9344
187,MI,1039
187,NJ,534
187,NY,628
187,Other,18429
187,South,15460
187,TX,3866
188,CA,6199
188,FL,8892
188,MI,512
188,NJ,495
188,NY,635
188,Other,20567
188,South,12988
188,TX,6450
189,CA,12778
189,FL,9230
189,MI,785
189,NJ,547
189,NY,505
189,Other,19907
189,South,13931
189,TX,8766
190,CA,14182
190,FL,9446
190,MI,1016
190,NJ,340
190,NY,572
190,Other,21028
190,South,14558
190,TX,10671
191,CA,7982
191,FL,9956
191,MI,807
191,NJ,408
191,NY,797
191,Other,23261
191,South,15184
191,TX,9023
192,CA,7687
192,FL,9007
192,MI,793
192,NJ,748
192,NY,690
192,Other,23515
192,South,15155
192,TX,11102
193,CA,5872
193,FL,9642
193,MI,758
193,NJ,405
193,NY,755
193,Other,20597
193,South,12037
193,TX,6108
194,CA,5204
194,FL,7104
194,MI,426
194,NJ,351
194,NY,553
194,Other,16256
194,South,12465
194,TX,3188
195,CA,4565
195,FL,4752
195,MI,616
195,NJ,308
195,NY,590
195,Other,16686
195,South,8725
195,TX,9279
196,CA,10003
196,FL,5446
196,MI,801
196,NJ,393
196,NY,633
196,Other,18164
196,South,12428
196,TX,10904
197,CA,4315
197,FL,5409
197,MI,718
197,NJ,400
197,NY,484
197,Other,19328
197,South,13250
197,TX,10544
198,CA,10474
198,FL,7650
198,MI,763
198,NJ,423
198,NY,742
198,Other,19340
198,South,12605
198,TX,7337
199,CA,5913
199,FL,7686
199,MI,814
199,NJ,407
199,NY,578
199,Other,21816
199,South,14136
199,TX,7919
200,CA,7384
200,FL,8502
200,MI,721
200,NJ,393
200,NY,698
200,Other,18809
200,South,11001
200,TX,6603
201,CA,5107
201,FL,6229
201,MI,535
201,NJ,366
201,NY,574
201,Other,15695
201,South,11876
201,TX,5366
202,CA,13610
202,FL,4155
202,MI,580
202,NJ,306
202,NY,521
202,Other,14785
202,South,7653
202,TX,6010
203,CA,5662
203,FL,5831
203,MI,907
203,NJ,479
203,NY,582
203,Other,16420
203,South,9798
203,TX,8276
204,CA,11547
204,FL,8109
204,MI,476
204,NJ,519
204,NY,464
204,Other,17682
204,South,10658
204,TX,6528
205,CA,5949
205,FL,6236
205,MI,1167
205,NJ,694
205,NY,642
205,Other,19948
205,South,9641
205,TX,7000
206,CA,14648
206,FL,6148
206,MI,868
206,NJ,619
206,NY,650
206,Other,21367
206,South,11065
206,TX,9957
207,CA,4972
207,FL,6352
207,MI,1058
207,NJ,316
207,NY,692
207,Other,17799
207,South,8599
207,TX,7114
208,CA,5365
208,FL,3779
208,MI,477
208,NJ,40
208,NY,610
208,Other,13621
208,South,7627
208,TX,7670
209,CA,5543
209,FL,2678
209,MI,490
209,NJ,360
209,NY,473
209,Other,14767
209,South,6848
209,TX,5495
210,CA,8652
210,FL,3838
210,MI,653
210,NJ,381
210,NY,538
210,Other,14419
210,South,8698
210,TX,7819
211,CA,9043
211,FL,4115
211,MI,689
211,NJ,370
211,NY,517
211,Other,16475
211,South,10530
211,TX,5608
212,CA,4811
212,FL,4555
212,MI,527
212,NJ,141
212,NY,683
212,Other,17964
212,South,9885
212,TX,5222
213,CA,6548
213,FL,4684
213,MI,0
213,NJ,331
213,NY,737
213,Other,20041
213,South,10654
213,TX,5711
214,CA,5194
214,FL,4311
214,MI,1426
214,NJ,555
214,NY,683
214,Other,19288
214,South,7809
214,TX,3779
215,CA,4796
215,FL,2974
215,MI,764
215,NJ,181
215,NY,542
215,Other,12334
215,South,8016
215,TX,4654
216,CA,6161
216,FL,2258
216,MI,878
216,NJ,279
216,NY,473
216,Other,15407
216,South,6723
216,TX,4421
217,CA,5391
217,FL,2673
217,MI,951
217,NJ,345
217,NY,555
217,Other,15119
217,South,8741
217,TX,6341
218,CA,5756
218,FL,3220
218,MI,843
218,NJ,337
218,NY,482
218,Other,17313
218,South,11101
218,TX,6238
219,CA,4684
219,FL,3269
219,MI,863
219,NJ,350
219,NY,798
219,Other,21978
219,South,9201
219,TX,4042
220,CA,5430
220,FL,3815
220,MI,793
