date,county,time,count
2020-03-09,Pickens,48,0
2020-03-09,Spartanburg,48,1
2020-03-09,Union,48,0
2020-03-10,Abbeville,49,0
2020-03-10,Anderson,49,0
2020-03-10,Cherokee,49,0
2020-03-10,Greenville,49,0
2020-03-10,Greenwood,49,0
2020-03-10,Laurens,49,0
2020-03-10,Oconee,49,0
2020-03-10,Pickens,49,0
2020-03-10,Spartanburg,49,1
2020-03-10,Union,49,0
2020-03-11,Abbeville,50,0
2020-03-11,Anderson,50,0
2020-03-11,Cherokee,50,0
2020-03-11,Greenville,50,0
2020-03-11,Greenwood,50,0
2020-03-11,Laurens,50,0
2020-03-11,Oconee,50,0
2020-03-11,Pickens,50,0
2020-03-11,Spartanburg,50,1
2020-03-11,Union,50,0
2020-03-12,Abbeville,51,0
2020-03-12,Anderson,51,0
2020-03-12,Cherokee,51,0
2020-03-12,Greenville,51,0
2020-03-12,Greenwood,51,0
2020-03-12,Laurens,51,0
2020-03-12,Oconee,51,0
2020-03-12,Pickens,51,0
2020-03-12,Spartanburg,51,1
2020-03-12,Union,51,0
2020-03-13,Abbeville,52,0
2020-03-13,Anderson,52,0
2020-03-13,Cherokee,52,0
2020-03-13,Greenville,52,0
2020-03-13,Greenwood,52,0
2020-03-13,Laurens,52,0
2020-03-13,Oconee,52,0
2020-03-13,Pickens,52,0
2020-03-13,Spartanburg,52,1
2020-03-13,Union,52,0
2020-03-14,Abbeville,53,0
2020-03-14,Anderson,53,0
2020-03-14,Cherokee,53,0
2020-03-14,Greenville,53,0
2020-03-14,Greenwood,53,0
2020-03-14,Laurens,53,0
2020-03-14,Oconee,53,0
2020-03-14,Pickens,53,0
2020-03-14,Spartanburg,53,1
2020-03-14,Union,53,0
2020-03-15,Abbeville,54,0
2020-03-15,Anderson,54,0
2020-03-15,Cherokee,54,0
2020-03-15,Greenville,54,0
2020-03-15,Greenwood,54,0
2020-03-15,Laurens,54,0
2020-03-15,Oconee,54,0
2020-03-15,Pickens,54,0
2020-03-15,Spartanburg,54,1
2020-03-15,Union,54,0
2020-03-16,Abbeville,55,0
2020-03-16,Anderson,55,2
2020-03-16,Cherokee,55,0
2020-03-16,Greenville,55,1
2020-03-16,Greenwood,55,0
2020-03-16,Laurens,55,0
2020-03-16,Oconee,55,0
2020-03-16,Pickens,55,0
2020-03-16,Spartanburg,55,1
2020-03-16,Union,55,0
2020-03-17,Abbeville,56,0
2020-03-17,Anderson,56,2
2020-03-17,Cherokee,56,0
2020-03-17,Greenville,56,2
2020-03-17,Greenwood,56,0
2020-03-17,Laurens,56,0
2020-03-17,Oconee,56,0
2020-03-17,Pickens,56,0
2020-03-17,Spartanburg,56,1
2020-03-17,Union,56,0
2020-03-18,Abbeville,57,0
2020-03-18,Anderson,57,2
2020-03-18,Cherokee,57,0
2020-03-18,Greenville,57,3
2020-03-18,Greenwood,57,0
2020-03-18,Laurens,57,0
2020-03-18,Oconee,57,0
2020-03-18,Pickens,57,0
2020-03-18,Spartanburg,57,1
2020-03-18,Union,57,0
2020-03-19,Abbeville,58,1
2020-03-19,Anderson,58,2
2020-03-19,Cherokee,58,0
2020-03-19,Greenville,58,7
2020-03-19,Greenwood,58,0
2020-03-19,Laurens,58,0
2020-03-19,Oconee,58,0
2020-03-19,Pickens,58,0
2020-03-19,Spartanburg,58,1
2020-03-19,Union,58,0
2020-03-20,Abbeville,59,1
2020-03-20,Anderson,59,6
2020-03-20,Cherokee,59,0
2020-03-20,Greenville,59,12
2020-03-20,Greenwood,59,0
2020-03-20,Laurens,59,0
2020-03-20,Oconee,59,0
2020-03-20,Pickens,59,1
2020-03-20,Spartanburg,59,1
2020-03-20,Union,59,0
2020-03-21,Abbeville,60,1
2020-03-21,Anderson,60,10
2020-03-21,Cherokee,60,0
2020-03-21,Greenville,60,17
2020-03-21,Greenwood,60,3
2020-03-21,Laurens,60,0
2020-03-21,Oconee,60,0
2020-03-21,Pickens,60,1
2020-03-21,Spartanburg,60,2
2020-03-21,Union,60,0
2020-03-22,Abbeville,61,1
2020-03-22,Anderson,61,10
2020-03-22,Cherokee,61,0
2020-03-22,Greenville,61,19
2020-03-22,Greenwood,61,3
2020-03-22,Laurens,61,0
2020-03-22,Oconee,61,0
2020-03-22,Pickens,61,1
2020-03-22,Spartanburg,61,2
2020-03-22,Union,61,0
2020-03-23,Abbeville,62,1
2020-03-23,Anderson,62,15
2020-03-23,Cherokee,62,0
2020-03-23,Greenville,62,31
2020-03-23,Greenwood,62,2
2020-03-23,Laurens,62,0
2020-03-23,Oconee,62,2
2020-03-23,Pickens,62,1
2020-03-23,Spartanburg,62,3
2020-03-23,Union,62,0
2020-03-24,Abbeville,63,1
2020-03-24,Anderson,63,16
2020-03-24,Cherokee,63,0
2020-03-24,Greenville,63,39
2020-03-24,Greenwood,63,2
2020-03-24,Laurens,63,0
2020-03-24,Oconee,63,2
2020-03-24,Pickens,63,1
2020-03-24,Spartanburg,63,4
2020-03-24,Union,63,0
2020-03-25,Abbeville,64,3
2020-03-25,Anderson,64,19
2020-03-25,Cherokee,64,0
2020-03-25,Greenville,64,50
2020-03-25,Greenwood,64,2
2020-03-25,Laurens,64,0
2020-03-25,Oconee,64,2
2020-03-25,Pickens,64,6
2020-03-25,Spartanburg,64,9
2020-03-25,Union,64,1
2020-03-26,Abbeville,65,3
2020-03-26,Anderson,65,19
2020-03-26,Cherokee,65,0
2020-03-26,Greenville,65,50
2020-03-26,Greenwood,65,2
2020-03-26,Laurens,65,0
2020-03-26,Oconee,65,2
2020-03-26,Pickens,65,6
2020-03-26,Spartanburg,65,9
2020-03-26,Union,65,1
2020-03-27,Abbeville,66,4
2020-03-27,Anderson,66,21
2020-03-27,Cherokee,66,0
2020-03-27,Greenville,66,51
2020-03-27,Greenwood,66,2
2020-03-27,Laurens,66,0
2020-03-27,Oconee,66,3
2020-03-27,Pickens,66,7
2020-03-27,Spartanburg,66,16
2020-03-27,Union,66,1
2020-03-28,Abbeville,67,3
2020-03-28,Anderson,67,24
2020-03-28,Cherokee,67,0
2020-03-28,Greenville,67,57
2020-03-28,Greenwood,67,3
2020-03-28,Laurens,67,2
2020-03-28,Oconee,67,3
2020-03-28,Pickens,67,10
2020-03-28,Spartanburg,67,21
2020-03-28,Union,67,1
2020-03-29,Abbeville,68,3
2020-03-29,Anderson,68,29
2020-03-29,Cherokee,68,0
2020-03-29,Greenville,68,71
2020-03-29,Greenwood,68,3
2020-03-29,Laurens,68,3
2020-03-29,Oconee,68,4
2020-03-29,Pickens,68,11
2020-03-29,Spartanburg,68,25
2020-03-29,Union,68,1
2020-03-30,Abbeville,69,3
2020-03-30,Anderson,69,31
2020-03-30,Cherokee,69,0
2020-03-30,Greenville,69,88
2020-03-30,Greenwood,69,3
2020-03-30,Laurens,69,3
2020-03-30,Oconee,69,4
2020-03-30,Pickens,69,13
2020-03-30,Spartanburg,69,30
2020-03-30,Union,69,3
2020-03-31,Abbeville,70,4
2020-03-31,Anderson,70,39
2020-03-31,Cherokee,70,0
2020-03-31,Greenville,70,106
2020-03-31,Greenwood,70,5
2020-03-31,Laurens,70,3
2020-03-31,Oconee,70,5
2020-03-31,Pickens,70,14
2020-03-31,Spartanburg,70,37
2020-03-31,Union,70,3
2020-04-01,Abbeville,71,4
2020-04-01,Anderson,71,47
2020-04-01,Cherokee,71,0
2020-04-01,Greenville,71,129
2020-04-01,Greenwood,71,6
2020-04-01,Laurens,71,4
2020-04-01,Oconee,71,5
2020-04-01,Pickens,71,14
2020-04-01,Spartanburg,71,45
2020-04-01,Union,71,3
2020-04-02,Abbeville,72,6
2020-04-02,Anderson,72,57
2020-04-02,Cherokee,72,1
2020-04-02,Greenville,72,154
2020-04-02,Greenwood,72,8
2020-04-02,Laurens,72,4
2020-04-02,Oconee,72,5
2020-04-02,Pickens,72,15
2020-04-02,Spartanburg,72,50
2020-04-02,Union,72,5
2020-04-03,Abbeville,73,6
2020-04-03,Anderson,73,62
2020-04-03,Cherokee,73,1
2020-04-03,Greenville,73,174
2020-04-03,Greenwood,73,9
2020-04-03,Laurens,73,6
2020-04-03,Oconee,73,5
2020-04-03,Pickens,73,17
2020-04-03,Spartanburg,73,60
2020-04-03,Union,73,6
2020-04-04,Abbeville,74,6
2020-04-04,Anderson,74,68
2020-04-04,Cherokee,74,2
2020-04-04,Greenville,74,183
2020-04-04,Greenwood,74,10
2020-04-04,Laurens,74,6
2020-04-04,Oconee,74,8
2020-04-04,Pickens,74,17
2020-04-04,Spartanburg,74,72
2020-04-04,Union,74,9
2020-04-05,Abbeville,75,6
2020-04-05,Anderson,75,69
2020-04-05,Cherokee,75,2
2020-04-05,Greenville,75,186
2020-04-05,Greenwood,75,10
2020-04-05,Laurens,75,6
2020-04-05,Oconee,75,8
2020-04-05,Pickens,75,18
2020-04-05,Spartanburg,75,75
2020-04-05,Union,75,11
2020-04-06,Abbeville,76,6
2020-04-06,Anderson,76,72
2020-04-06,Cherokee,76,4
2020-04-06,Greenville,76,204
2020-04-06,Greenwood,76,11
2020-04-06,Laurens,76,6
2020-04-06,Oconee,76,8
2020-04-06,Pickens,76,20
2020-04-06,Spartanburg,76,88
2020-04-06,Union,76,12
2020-04-07,Abbeville,77,5
2020-04-07,Anderson,77,75
2020-04-07,Cherokee,77,4
2020-04-07,Greenville,77,214
2020-04-07,Greenwood,77,12
2020-04-07,Laurens,77,6
2020-04-07,Oconee,77,9
